# Метеостанция Санкт-Петербург, Россия, WMO_ID=26063, выборка с 01.05.2021 по 01.06.2021, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"# Информация предоставлена сайтом ""Расписание Погоды"", rp5.ru";;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=26063&lang=ru;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Санкт-Петербурге;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
24.05.2021 03:00;9,9;751,6;751,9;1,3;95;Ветер, дующий с запада;4;11;11;100%.;Дождь незамерзающий с перерывами умеренный в срок наблюдения. ;Дождь.;Морось.;;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;200-300;Высокослоистые непросвечивающие или слоисто-дождевые.;;4,0;9,2;;;;;;
24.05.2021 00:00;12,8;750,3;750,7;0,1;86;Ветер, дующий с юго-юго-запада;1;;;100%.;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;300-600;;;10,0;10,5;;;;;;
23.05.2021 21:00;13,6;750,2;750,6;-0,2;83;Ветер, дующий с юга;2;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;16,4;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1500-2000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;10,8;6;12;;;;
23.05.2021 18:00;14,8;750,4;750,7;-0,9;74;Ветер, дующий с юго-юго-запада;2;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1500-2000;;;10,0;10,1;5;12;;;;
23.05.2021 15:00;13,7;751,3;751,7;-1,5;90;Ветер, дующий с востоко-северо-востока;1;;;100%.;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1500-2000;;;10,0;12,0;;;;;;
23.05.2021 12:00;12,2;752,8;753,1;-1,6;92;Ветер, дующий с северо-востока;1;;;100%.;Дождь (незамерзающий) неливневый. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2000-2500;Высокослоистые непросвечивающие или слоисто-дождевые.;;10,0;11,0;;;;;;
23.05.2021 09:00;11,0;754,4;754,8;-0,4;93;Штиль, безветрие;0;;;100%.;Дождь незамерзающий непрерывный слабый в срок наблюдения. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;8,4;;"Слоистые разорванные или кучевые разорванные облака плохой погоды, либо те и другие вместе (разорванно-дождевые); обычно расположены под слоистыми или слоисто-дождевыми облаками.";100%.;1500-2000;Высокослоистые непросвечивающие или слоисто-дождевые.;;4,0;9,9;1;12;Поверхность почвы влажная.;7,0;;
23.05.2021 06:00;9,8;754,8;755,2;-0,4;93;Штиль, безветрие;0;;;100%.; ;;;8,4;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10,0;8,7;1;12;;;;
23.05.2021 03:00;9,8;755,2;755,5;0,3;92;Штиль, безветрие;0;;;50%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;8,6;;;;;;
23.05.2021 00:00;9,5;754,9;755,3;0,6;94;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;10,0;8,5;;;;;;
22.05.2021 21:00;11,6;754,3;754,6;1,3;88;Штиль, безветрие;0;;;70 – 80%.;Ливневый(ые) дождь(и). ;Облака покрывали более половины неба в течение всего соответствующего периода.;Облака покрывали более половины неба в течение всего соответствующего периода.;;17,1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые, образовавшиеся из кучевых (или кучево-дождевых).;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;9,7;1;12;;;;
22.05.2021 18:00;16,3;753,0;753,4;0,0;47;Ветер, дующий с западо-юго-запада;1;;;60%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;60%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;4,9;Осадков нет;12;;;;
22.05.2021 15:00;15,5;753,0;753,4;0,3;52;Ветер, дующий с юго-юго-запада;4;;;70 – 80%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;5,6;;;;;;
22.05.2021 12:00;14,7;752,7;753,1;0,2;56;Ветер, дующий с юга;4;;;50%.; ;;;;;"Кучевые средние или мощные или вместе с кучевыми разорванными, или с кучевыми плоскими, или со слоисто-кучевыми, либо без них; основания всех этих облаков расположены на одном уровне.";20–30%.;600-1000;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;5,9;;;;;;
22.05.2021 09:00;12,0;752,5;752,9;0,7;63;Ветер, дующий с юго-юго-запада;4;;;60%.; ;;;8,9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10,0;5,0;0,6;12;Поверхность почвы сырая (вода застаивается на поверхности и образует малые или большие лужи).;9,0;;
22.05.2021 06:00;9,0;751,8;752,2;0,4;81;Ветер, дующий с юго-юго-запада;4;;;100%.; ;;;8,9;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10,0;5,8;0,9;12;;;;
22.05.2021 03:00;9,9;751,4;751,8;0,4;83;Ветер, дующий с юго-запада;4;;;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;7,1;;;;;;
22.05.2021 00:00;10,2;751,0;751,4;0,3;88;Ветер, дующий с юго-юго-запада;3;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;8,2;;;;;;
21.05.2021 21:00;10,1;750,7;751,1;0,5;84;Ветер, дующий с юго-запада;3;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;12,5;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;10,0;7,5;4;12;;;;
21.05.2021 18:00;11,1;750,2;750,6;1,0;82;Ветер, дующий с юго-запада;4;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;4,0;8,1;4;12;;;;
21.05.2021 15:00;12,3;749,2;749,6;1,0;76;Ветер, дующий с юго-запада;3;;10;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;600-1000;;;10,0;8,1;;;;;;
21.05.2021 12:00;11,7;748,2;748,6;0,9;81;Ветер, дующий с западо-юго-запада;3;;;100%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10,0;8,6;;;;;;
21.05.2021 09:00;12,0;747,3;747,7;0,3;85;Ветер, дующий с юго-запада;3;;;100%.; ;;;11,0;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;300-600;;;10,0;9,5;0,5;12;Поверхность почвы влажная.;12,0;;
21.05.2021 06:00;11,2;747,0;747,4;0,0;93;Ветер, дующий с юго-запада;2;;;100%.; ;;;11,0;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;200-300;;;10,0;10,1;8;12;;;;
21.05.2021 03:00;12,4;747,0;747,4;-1,3;96;Ветер, дующий с юго-запада;2;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10,0;11,8;;;;;;
21.05.2021 00:00;13,0;748,3;748,6;-0,6;97;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;300-600;;;10,0;12,5;;;;;;
20.05.2021 21:00;13,0;748,9;749,3;-0,2;99;Ветер, дующий с северо-северо-востока;1;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;;19,0;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;300-600;;;4,0;12,8;11;12;;;;
20.05.2021 18:00;12,2;749,1;749,5;-3,0;96;Ветер, дующий с северо-северо-запада;5;10;10;100%.;Гроза сильная без града, но с дождем и/или снегом в срок наблюдения. ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;300-600;;;1,0;11,6;4;12;;;;
20.05.2021 15:00;18,8;752,1;752,5;-1,3;62;Ветер, дующий с северо-запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;11,2;;;;;;
20.05.2021 12:00;16,5;753,4;753,8;-0,6;64;Ветер, дующий с западо-северо-запада;1;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;9,6;;;;;;
20.05.2021 09:00;15,4;754,0;754,4;0,3;64;Ветер, дующий с юго-юго-запада;2;;;70 – 80%.; ;;;12,9;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;8,5;0,5;12;Поверхность почвы влажная.;13,0;;
20.05.2021 06:00;13,0;753,7;754,0;0,3;81;Ветер, дующий с юго-юго-запада;3;;;100%.; ;;;12,9;;Слоисто-кучевые, образовавшиеся из кучевых.;60%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;9,8;0,5;12;;;;
20.05.2021 03:00;13,7;753,4;753,7;1,5;82;Ветер, дующий с юго-юго-запада;3;;;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Дождь.;;;Слоисто-кучевые, образовавшиеся из кучевых.;100%.;2500 или более, или облаков нет.;;;10,0;10,6;;;;;;
20.05.2021 00:00;16,3;751,9;752,3;1,8;83;Ветер, дующий с юго-юго-запада;4;;12;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся из кучевых.;100%.;300-600;;;10,0;13,3;;;;;;
19.05.2021 21:00;18,5;750,1;750,4;2,0;77;Ветер, дующий с юга;5;;15;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Дождь.;;31,0;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10,0;14,3;Следы осадков;12;;;;
19.05.2021 18:00;26,0;748,1;748,5;0,3;37;Ветер, дующий с юга;6;15;15;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;300-600;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;10,3;Следы осадков;12;;;;
19.05.2021 15:00;30,2;747,8;748,3;-2,0;24;Ветер, дующий с юга;2;;10;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10,0;7,6;;;;;;
19.05.2021 12:00;26,3;749,8;750,2;-0,6;37;Ветер, дующий с востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10,0;10,3;;;;;;
19.05.2021 09:00;19,8;750,4;750,7;-0,3;54;Ветер, дующий с востоко-юго-востока;2;;;90  или более, но не 100%;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;14,9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;300-600;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;10,1;Следы осадков;12;Поверхность почвы влажная.;13,0;;
19.05.2021 06:00;15,7;750,7;751,1;-2,4;77;Ветер, дующий с востоко-северо-востока;1;;;70 – 80%.; ;;;14,9;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;11,6;25;12;;;;
19.05.2021 03:00;15,9;753,1;753,4;0,6;91;Штиль, безветрие;0;;;100%.;Состояние неба в общем не изменилось. ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высокослоистые непросвечивающие или слоисто-дождевые.;;10,0;14,4;;;;;;
19.05.2021 00:00;16,2;752,5;753,0;-1,0;99;Ветер, дующий с востока;1;;;50%.;Состояние неба в общем не изменилось. ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;16,0;;;;;;
18.05.2021 21:00;16,1;753,5;753,9;1,3;100;Ветер, дующий с северо-северо-запада;2;;17;100%.;Гроза слабая или умеренная без града, но с дождем и/или снегом в срок наблюдения. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;27,4;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;1000-1500;;;4,0;16,1;25;12;;;;
18.05.2021 18:00;26,4;752,2;752,6;-0,7;51;Ветер, дующий с северо-востока;1;;;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;60%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;15,5;Следы осадков;12;;;;
18.05.2021 15:00;24,2;752,9;753,3;-0,2;55;Ветер, дующий с востока;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые башенкообразные или хлопьевидные.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;14,5;;;;;;
18.05.2021 12:00;18,7;753,1;753,4;-0,2;89;Ветер, дующий с севера;1;;;90  или более, но не 100%;Дождь незамерзающий с перерывами слабый в срок наблюдения. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;16,8;;;;;;
18.05.2021 09:00;19,0;753,3;753,7;-0,1;81;Ветер, дующий с северо-северо-запада;1;;;50%.; ;;;13,3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;15,7;8;12;Поверхность почвы влажная.;12,0;;
18.05.2021 06:00;15,1;753,4;753,9;-0,3;97;Штиль, безветрие;0;;;70 – 80%.; ;;;13,3;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;40%.;2500 или более, или облаков нет.;"Клочья (часто чечевицеобразные) высококучевых просвечивающих, непрерывно изменяющихся; расположены на одном или более уровнях.";Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;10,0;14,6;8;12;;;;
18.05.2021 03:00;15,3;753,7;754,2;-2,2;94;Штиль, безветрие;0;;;100%.;Ливневый(ые) дождь(и). ;Гроза (грозы) с осадками или без них.;Ливень (ливни).;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;14,3;;;;;;
18.05.2021 00:00;15,4;755,9;756,3;0,9;88;Ветер, дующий с западо-юго-запада;2;;;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые лысые с кучевыми, слоисто-кучевыми или слоистыми, либо без них.;100%.;300-600;;;4,0;13,4;;;;;;
17.05.2021 21:00;22,9;755,0;755,4;-1,0;42;Ветер, дующий с востока;1;;;100%.; ;;;;25,7;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1500-2000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;10,0;9,3;Осадков нет;12;;;;
17.05.2021 18:00;25,1;756,0;756,4;-1,5;35;Ветер, дующий с востоко-юго-востока;2;;;100%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;10,0;8,6;Осадков нет;12;;;;
17.05.2021 15:00;24,7;757,5;757,9;-1,2;35;Ветер, дующий с востоко-юго-востока;3;;;100%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;10,0;8,1;;;;;;
17.05.2021 12:00;23,7;758,7;759,1;-0,6;42;Ветер, дующий с юго-востока;2;;;100%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;300-600;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;10,0;10,1;;;;;;
17.05.2021 09:00;19,8;759,3;759,7;0,2;54;Ветер, дующий с востоко-юго-востока;2;;;20–30%.; ;;;9,6;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;10,3;Осадков нет;12;Поверхность почвы сухая (без трещин и без заметного количества пыли или несвязанного песка).;7,0;;
17.05.2021 06:00;12,1;759,1;759,5;0,1;79;Штиль, безветрие;0;;;Облаков нет.; ;;;9,6;;;;;;;10,0;8,6;Осадков нет;12;;;;
17.05.2021 03:00;9,9;759,0;759,4;0,4;88;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;10,0;7,9;;;;;;
17.05.2021 00:00;11,5;758,6;759,0;0,9;79;Штиль, безветрие;0;;;Облаков нет.; ;;;;;;;;;;10,0;7,9;;;;;;
16.05.2021 21:00;13,8;757,7;758,1;0,2;64;Ветер, дующий с западо-юго-запада;1;;;Облаков нет.; ;;;;19,8;;;;;;10,0;7,1;Осадков нет;12;;;;
16.05.2021 18:00;17,7;757,5;757,9;1,1;45;Ветер, дующий с запада;3;;;40%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;10%  или менее, но не 0;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;5,6;Осадков нет;12;;;;
16.05.2021 15:00;18,5;756,4;756,7;0,7;62;Ветер, дующий с запада;4;;;60%.; ;;;;;Кучевые плоские или кучевые разорванные, или те и другие вместе, не относящиеся к облакам плохой погоды.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;11,1;;;;;;
16.05.2021 12:00;16,0;755,7;756,1;1,4;74;Ветер, дующий с западо-юго-запада;2;;;90  или более, но не 100%; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;50%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;10,0;11,3;;;;;;
16.05.2021 09:00;14,2;754,3;754,7;1,1;87;Ветер, дующий с западо-юго-запада;2;;;100%.; ;;;12,8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;"Высококучевые просвечивающие, полосами, либо один или несколько слоев высококучевых просвечивающих, распространяющихся по небу; эти высококучевые в целом уплотняются.";;10,0;12,1;Следы осадков;12;Поверхность почвы влажная.;12,0;;
16.05.2021 06:00;13,6;753,2;753,6;0,1;87;Ветер, дующий с севера;1;;;90  или более, но не 100%; ;;;12,8;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;90  или более, но не 100%;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;11,4;Следы осадков;12;;;;
16.05.2021 03:00;14,2;753,1;753,4;0,3;81;Штиль, безветрие;0;;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;10,9;;;;;;
16.05.2021 00:00;15,5;752,8;753,2;-0,4;74;Ветер, дующий с северо-северо-востока;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;10,8;;;;;;
15.05.2021 21:00;18,2;753,2;753,6;0,0;61;Ветер, дующий с северо-востока;1;;;70 – 80%.;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;23,3;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;70 – 80%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;10,0;10,5;Следы осадков;12;;;;
