# Метеостанция Мурманск, Россия, WMO_ID=22113, выборка с 01.05.2021 по 01.06.2021, все дни;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Кодировка: UTF-8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"# Информация предоставлена сайтом ""Расписание Погоды"", rp5.ru";;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=22113&lang=ru;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Местное время в Мурманске;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
25.05.2021 00:00;1,3;760,9;765,7;0,9;61;Ветер, дующий с востока;3;;6;20–30%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-5,5;;;;;;
24.05.2021 21:00;3,3;760,0;764,7;0,8;45;Ветер, дующий с востока;3;6;7;40%.;Осадки в поле зрения, достигающие поверхности земли или моря на расстоянии более 5 км от станции. ;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;Облака покрывали более половины неба в течение одной части соответствующего периода и половину или менее в течение другой части периода.;;5,3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20,0;-7,5;Осадков нет;12;;;;
24.05.2021 18:00;4,1;759,2;763,9;0,5;44;Ветер, дующий с юго-востока;3;5;9;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1500-2000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-7,3;Осадков нет;12;;;;
24.05.2021 15:00;3,8;758,7;763,4;0,1;48;Ветер, дующий с востока;4;7;9;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;90  или более, но не 100%;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-6,2;;;;;;
24.05.2021 12:00;5,0;758,6;763,3;-0,1;42;Ветер, дующий с востока;3;6;9;50%.; ;;;;;Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;50,0;-7,1;;;;;;
24.05.2021 09:00;4,2;758,7;763,4;-0,4;45;Ветер, дующий с востока;3;6;6;70 – 80%.; ;;;-0,1;;Кучевые и слоисто-кучевые (но не слоисто-кучевые, образовавшиеся из кучевых), основания расположены на разных уровнях.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-6,7;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;Снежный покров не постоянный.
24.05.2021 06:00;1,4;759,1;763,9;0,0;68;Ветер, дующий с севера;2;2;;40%.; ;;;-0,1;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-3,9;Осадков нет;12;;;;
24.05.2021 03:00;0,4;759,1;763,9;0,0;75;Ветер, дующий с западо-северо-запада;1;2;;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-3,6;;;;;;
24.05.2021 00:00;1,6;759,1;763,9;0,3;62;Ветер, дующий с юго-юго-востока;2;3;;60%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-4,9;;;;;;
23.05.2021 21:00;2,9;758,8;763,5;0,3;48;Ветер, дующий с юга;2;3;5;70 – 80%.; ;;;;4,1;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-7,2;0,5;12;;;;
23.05.2021 18:00;2,9;758,5;763,3;0,6;52;Ветер, дующий с севера;3;4;6;70 – 80%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;1000-1500;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-6,0;0,8;12;;;;
23.05.2021 15:00;3,6;757,9;762,6;1,2;47;Ветер, дующий с севера;4;5;6;70 – 80%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;-6,7;;;;;;
23.05.2021 12:00;1,3;756,7;761,4;2,1;72;Ветер, дующий с северо-северо-востока;2;3;10;90  или более, но не 100%;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-3,3;;;;;;
23.05.2021 09:00;1,5;754,6;759,3;1,8;70;Ветер, дующий с севера;5;7;10;90  или более, но не 100%;Ливневый снег или ливневый дождь и снег. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;-0,9;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;-3,5;0,9;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий по крайней мере половину поверхности почвы, но почва не покрыта полностью.;4
23.05.2021 06:00;0,3;752,8;757,5;1,9;70;Ветер, дующий с севера;5;6;11;100%.; ;;;-0,9;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;20,0;-4,6;3;12;;;;
23.05.2021 03:00;-0,7;750,9;755,6;1,7;83;Ветер, дующий с северо-северо-востока;6;9;12;100%.;Состояние неба в общем не изменилось.  Диаметр отложения мокрого снега составляет 2 мм.;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевые, образовавшиеся не из кучевых.;100%.;1000-1500;;;20,0;-3,3;;;;;;
23.05.2021 00:00;-0,6;749,2;753,9;1,5;94;Ветер, дующий с северо-северо-востока;6;10;12;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10,0;-1,4;;;;;;
22.05.2021 21:00;-0,6;747,7;752,4;1,2;94;Ветер, дующий с северо-северо-востока;7;11;14;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час.  Диаметр отложения мокрого снега составляет 3 мм.;Ливень (ливни).;Песчаная или пыльная буря или снежная низовая метель.;;1,5;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;2,0;-1,4;7;12;;;;
22.05.2021 18:00;0,1;746,5;751,2;1,7;93;Ветер, дующий с северо-северо-востока;8;14;15;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Песчаная или пыльная буря или снежная низовая метель.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;2,0;-0,9;11;12;;;;
22.05.2021 15:00;0,7;744,8;749,5;1,2;93;Ветер, дующий с северо-северо-востока;9;13;17;100%.;Ливневый снег слабый в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;4,0;-0,3;;;;;;
22.05.2021 12:00;1,0;743,6;748,3;0,4;94;Ветер, дующий с северо-северо-востока;10;15;15;100%.;Ливневый снег слабый в срок наблюдения или за последний час.  Диаметр отложения мокрого снега составляет 16 мм.;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10,0;0,1;;;;;;
22.05.2021 09:00;0,3;743,2;747,8;-0,6;96;Ветер, дующий с северо-северо-востока;8;12;13;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;0,1;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;200-300;;;2,0;-0,3;18;12;;;Ровный слой слежавшегося или мокрого снега покрывает поверхность почвы полностью.;3
22.05.2021 06:00;0,2;743,8;748,6;-0,9;95;Ветер, дующий с севера;7;11;15;100%.;Ливневый снег умеренный или сильный в срок наблюдения или за последний час.  Диаметр отложения мокрого снега составляет 4 мм.;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;0,1;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;200-300;;;1,0;-0,5;13;12;;;;
22.05.2021 03:00;1,5;744,7;749,3;-2,3;92;Ветер, дующий с северо-северо-востока;10;15;15;100%.;Ливневый(ые) дождь(и) умеренный(ые) или сильный(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;200-300;;;4,0;0,4;;;;;;
22.05.2021 00:00;1,4;747,0;751,7;-1,4;92;Ветер, дующий с северо-северо-востока;6;9;12;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;200-300;;;4,0;0,3;;;;;;
21.05.2021 21:00;1,3;748,4;753,1;-1,4;92;Ветер, дующий с северо-северо-востока;7;10;10;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;4,3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;200-300;;;4,0;0,2;0,6;12;;;;
21.05.2021 18:00;2,2;749,8;754,5;-1,2;84;Ветер, дующий с северо-востока;7;11;12;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;20,0;-0,3;0,1;12;;;;
21.05.2021 15:00;3,1;751,0;755,8;-0,6;79;Ветер, дующий с северо-востока;7;10;14;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;20,0;-0,2;;;;;;
21.05.2021 12:00;3,4;751,6;756,2;-0,7;78;Ветер, дующий с северо-востока;7;11;14;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;20,0;-0,1;;;;;;
21.05.2021 09:00;3,1;752,3;757,0;-0,5;83;Ветер, дующий с северо-северо-востока;7;10;10;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;2,6;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;20,0;0,5;0,5;12;Поверхность почвы влажная.;3,0;;
21.05.2021 06:00;2,8;752,8;757,6;0,0;87;Ветер, дующий с севера;6;8;9;100%.; ;;;2,6;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;600-1000;;;20,0;0,8;2;12;;;;
21.05.2021 03:00;2,8;752,8;757,6;0,4;89;Ветер, дующий с севера;5;8;9;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;20,0;1,2;;;;;;
21.05.2021 00:00;2,9;752,4;757,1;0,9;89;Ветер, дующий с севера;4;7;8;100%.;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;20,0;1,3;;;;;;
20.05.2021 21:00;3,0;751,5;756,2;1,4;92;Ветер, дующий с севера;7;9;11;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;6,3;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;10,0;1,8;5;12;;;;
20.05.2021 18:00;3,6;750,1;754,8;1,6;94;Ветер, дующий с севера;9;11;12;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;200-300;;;4,0;2,7;4;12;;;;
20.05.2021 15:00;4,4;748,5;753,1;1,0;94;Ветер, дующий с севера;9;11;12;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;200-300;;;4,0;3,5;;;;;;
20.05.2021 12:00;6,3;747,5;752,1;-0,4;87;Ветер, дующий с северо-северо-востока;7;9;9;100%.; ;;;;;Слоистые туманообразные или слоистые разорванные, либо те и другие, но не относящиеся к облакам плохой погоды.;100%.;300-600;;;20,0;4,3;;;;;;
20.05.2021 09:00;6,2;747,9;752,5;-0,7;88;Ветер, дующий с северо-северо-востока;7;10;12;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;5,3;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;200-300;;;10,0;4,4;0,5;12;;;;
20.05.2021 06:00;6,0;748,6;753,2;-0,4;90;Ветер, дующий с северо-северо-востока;7;10;12;100%.;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;5,7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;200-300;;;20,0;4,5;0,5;12;;;;
20.05.2021 03:00;7,0;749,0;753,6;-0,5;82;Ветер, дующий с северо-северо-востока;7;11;14;70 – 80%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;"Перистые плотные в виде клочьев или скрученных склонов, количество которых обычно не увеличивается, иногда могут казаться остатками верхней части кучево-дождевых; или перистые башенкообразные, или перистые хлопьевидные.";20,0;4,1;;;;;;
20.05.2021 00:00;9,4;749,5;754,1;-1,0;81;Ветер, дующий с северо-северо-востока;5;7;7;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;1000-1500;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;6,2;;;;;;
19.05.2021 21:00;11,2;750,5;755,1;-0,9;77;Ветер, дующий с северо-северо-востока;4;5;5;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;16,8;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;7,2;Следы осадков;12;;;;
19.05.2021 18:00;14,7;751,4;755,9;0,1;61;Ветер, дующий с севера;1;;;100%.;Состояние неба в общем не изменилось. ;Дождь.;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50,0;7,1;Следы осадков;12;;;;
19.05.2021 15:00;16,4;751,3;755,8;-0,2;55;Ветер, дующий с юго-юго-запада;2;3;7;100%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;100%.;2500 или более, или облаков нет.;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;;50,0;7,4;;;;;;
19.05.2021 12:00;15,7;751,5;756,0;0,3;58;Ветер, дующий с юга;4;6;7;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;20–30%.;600-1000;Высококучевые, просвечивающие или плотные в двух или более слоях или высококучевые плотные в одном слое, не распространяющиеся но небу, либо высококучевые с высокослоистыми или слоисто-дождевыми.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;7,5;;;;;;
19.05.2021 09:00;12,9;751,2;755,7;-0,1;76;Ветер, дующий с юга;3;4;6;100%.; ;;;10,1;;Слоисто-кучевые, образовавшиеся не из кучевых.;40%.;600-1000;Высокослоистые непросвечивающие или слоисто-дождевые.;;50,0;8,8;Осадков нет;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Снежный покров не постоянный.
19.05.2021 06:00;10,7;751,3;755,9;0,6;87;Ветер, дующий с юго-запада;4;6;8;90  или более, но не 100%; ;;;10,1;;Слоисто-кучевые, образовавшиеся не из кучевых.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;8,6;0,1;12;;;;
19.05.2021 03:00;11,1;750,7;755,2;0,6;88;Ветер, дующий с юго-запада;4;6;9;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;20,0;9,1;;;;;;
19.05.2021 00:00;11,3;750,1;754,6;0,2;93;Ветер, дующий с юго-юго-запада;2;4;5;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;20,0;10,2;;;;;;
18.05.2021 21:00;12,2;749,9;754,4;-0,5;88;Ветер, дующий с юга;2;4;8;100%.;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;17,1;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;100%.;300-600;;;20,0;10,3;0,1;12;;;;
18.05.2021 18:00;14,6;750,4;754,9;-0,8;76;Ветер, дующий с юга;6;10;10;90  или более, но не 100%;Ливневый(ые) дождь(и) слабый(ые) в срок наблюдения или за последний час. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20,0;10,3;Следы осадков;12;;;;
18.05.2021 15:00;16,1;751,2;755,7;-1,1;66;Ветер, дующий с юга;4;6;8;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;60%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;9,7;;;;;;
18.05.2021 12:00;13,6;752,3;756,8;-1,3;69;Ветер, дующий с северо-северо-запада;1;1;;100%.; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;40%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-слоистые, покрывающие все небо.;20,0;7,9;;;;;;
18.05.2021 09:00;11,0;753,6;758,2;-1,3;77;Ветер, дующий с юго-юго-запада;2;3;;90  или более, но не 100%;Состояние неба в общем не изменилось. ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;6,7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;20–30%.;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистые (часто в виде полос) и перисто-слоистые, распространяющиеся по небу и в целом обычно уплотняющиеся, но сплошная пелена поднимается над горизонтом менее чем на 45°.;20,0;7,1;2;12;;;Слежавшийся или мокрый снег (со льдом или без него), покрывающий менее половины поверхности почвы.;Измерение невозможно или неточно.
18.05.2021 06:00;6,9;754,9;759,5;-0,3;92;Ветер, дующий с юго-юго-запада;3;3;;90  или более, но не 100%;Ливневый(ые) дождь(и). ;Ливень (ливни).;Облака покрывали более половины неба в течение всего соответствующего периода.;6,7;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;90  или более, но не 100%;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;5,6;2;12;;;;
18.05.2021 03:00;7,7;755,2;759,8;-0,3;79;Ветер, дующий с юго-юго-запада;2;3;5;70 – 80%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;20–30%.;2500 или более, или облаков нет.;Высококучевые просвечивающие, расположенные на одном уровне.;Перистые нитевидные, иногда когтевидные, не распространяющиеся по небу.;20,0;4,3;;;;;;
18.05.2021 00:00;10,3;755,5;760,0;0,6;71;Ветер, дующий с юго-юго-запада;4;4;6;60%.; ;;;;;Слоисто-кучевых, слоистых, кучевых или кучево-дождевых облаков нет.;Облаков нет.;2500 или более, или облаков нет.;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;20,0;5,3;;;;;;
17.05.2021 21:00;14,2;754,9;759,4;0,1;58;Ветер, дующий с юга;4;6;7;60%.; ;;;;16,1;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевых, высокослоистых или слоисто-дождевых облаков нет.;Перисто-кучевые одни или перисто-кучевые, сопровождаемые перистыми или перисто-слоистыми, либо те и другие, но перисто-кучевые преобладают среди них.;50,0;6,1;Осадков нет;12;;;;
17.05.2021 18:00;15,6;754,8;759,3;-0,4;53;Ветер, дующий с юга;5;7;8;40%.; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;10%  или менее, но не 0;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;50,0;6,1;0,1;12;;;;
17.05.2021 15:00;13,8;755,2;759,7;-0,3;58;Ветер, дующий с юга;5;8;8;90  или более, но не 100%; ;;;;;Слоисто-кучевые, образовавшиеся не из кучевых.;50%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;5,5;;;;;;
17.05.2021 12:00;10,4;755,5;760,0;0,0;69;Ветер, дующий с юга;5;7;8;90  или более, но не 100%; ;;;;;Кучево-дождевые волокнистые (часто с наковальней), либо с кучево-дождевыми лысыми, кучевыми, слоистыми, разорванно-дождевыми, либо без них.;70 – 80%.;600-1000;Высококучевые просвечивающие, расположенные на одном уровне.;Перистых, перисто-кучевых или перисто-слоистых нет.;20,0;5,0;;;;;;
